CustomerID,Lookalikes
C0001,"[('C0165', 0.9999999999999999), ('C0165', 0.9999999999999999), ('C0001', 0.9999999999999999)]"
C0002,"[('C0177', 0.9999962475227601), ('C0017', 0.999996127671267), ('C0106', 0.9999959424261735)]"
C0003,"[('C0012', 0.9999989650378566), ('C0158', 0.9999989650378566), ('C0039', 0.9999987815679727)]"
C0004,"[('C0112', 0.9999973815781583), ('C0102', 0.9999973815781583), ('C0102', 0.9999973815781583)]"
C0005,"[('C0162', 0.9999999999999999), ('C0162', 0.9999988046003704), ('C0136', 0.9999987815679727)]"
C0006,"[('C0171', 0.9999999999999997), ('C0071', 0.9999920187872187), ('C0113', 0.999991942185381)]"
C0007,"[('C0090', 0.999997805520203), ('C0173', 0.9999974874522678), ('C0186', 0.9999974874522678)]"
C0008,"[('C0016', 0.9999951313801476), ('C0109', 0.9999951254960043), ('C0098', 0.9999951170930266)]"
C0009,"[('C0009', 1.0000000000000002), ('C0103', 0.9999966973287835), ('C0154', 0.9999818982751072)]"
C0010,"[('C0132', 0.9999999999999998), ('C0010', 0.9999999999999998), ('C0019', 0.9999915072483314)]"
C0011,"[('C0085', 1.0), ('C0147', 0.9999943327811323), ('C0004', 0.9999942691687541)]"
C0012,"[('C0012', 1.0), ('C0104', 0.999999015506147), ('C0187', 0.999999015506147)]"
C0013,"[('C0107', 0.9999993006099945), ('C0107', 0.9999992992035014), ('C0099', 0.9999992992035014)]"
C0014,"[('C0046', 0.9999921220914797), ('C0106', 0.9999921220914797), ('C0128', 0.9999921220914797)]"
C0015,"[('C0139', 0.9999999999999997), ('C0127', 0.9999979058580748), ('C0008', 0.9999976761158293)]"
C0016,"[('C0024', 0.9999974530645106), ('C0156', 0.9999974355755248), ('C0016', 0.9999974355755248)]"
C0017,"[('C0179', 0.9999989892179152), ('C0114', 0.9999989892179152), ('C0105', 0.9999989838346195)]"
C0018,"[('C0087', 0.9999954317879719), ('C0030', 0.99999411592467), ('C0109', 0.99999411592467)]"
C0019,"[('C0038', 0.9999695538728994), ('C0171', 0.9999695538728994), ('C0181', 0.9999695538728994)]"
C0020,"[('C0117', 1.0000000000000002), ('C0050', 0.9999998237490774), ('C0068', 0.999998981046303)]"
